"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Sligo","Conifer","Farmer","Hectares","15"
"Afforestation Area","2023","Co. Sligo","Conifer","Non-Farmer","Hectares","5"
"Afforestation Area","2023","Co. Sligo","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Tipperary","Total Afforestation","Total Afforestation","Hectares","98"
"Afforestation Area","2023","Co. Tipperary","Total Afforestation","Farmer","Hectares","26"
"Afforestation Area","2023","Co. Tipperary","Total Afforestation","Non-Farmer","Hectares","72"
"Afforestation Area","2023","Co. Tipperary","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Tipperary","Broadleaf","Total Afforestation","Hectares","49"
"Afforestation Area","2023","Co. Tipperary","Broadleaf","Farmer","Hectares","22"
"Afforestation Area","2023","Co. Tipperary","Broadleaf","Non-Farmer","Hectares","27"
"Afforestation Area","2023","Co. Tipperary","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Tipperary","Conifer","Total Afforestation","Hectares","49"
"Afforestation Area","2023","Co. Tipperary","Conifer","Farmer","Hectares","4"
"Afforestation Area","2023","Co. Tipperary","Conifer","Non-Farmer","Hectares","45"
"Afforestation Area","2023","Co. Tipperary","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Waterford","Total Afforestation","Total Afforestation","Hectares","19"
"Afforestation Area","2023","Co. Waterford","Total Afforestation","Farmer","Hectares","15"
"Afforestation Area","2023","Co. Waterford","Total Afforestation","Non-Farmer","Hectares","4"
"Afforestation Area","2023","Co. Waterford","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Waterford","Broadleaf","Total Afforestation","Hectares","15"
"Afforestation Area","2023","Co. Waterford","Broadleaf","Farmer","Hectares","14"
"Afforestation Area","2023","Co. Waterford","Broadleaf","Non-Farmer","Hectares","1"
"Afforestation Area","2023","Co. Waterford","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Waterford","Conifer","Total Afforestation","Hectares","4"
"Afforestation Area","2023","Co. Waterford","Conifer","Farmer","Hectares","1"
"Afforestation Area","2023","Co. Waterford","Conifer","Non-Farmer","Hectares","3"
"Afforestation Area","2023","Co. Waterford","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Westmeath","Total Afforestation","Total Afforestation","Hectares","76"
"Afforestation Area","2023","Co. Westmeath","Total Afforestation","Farmer","Hectares","47"
"Afforestation Area","2023","Co. Westmeath","Total Afforestation","Non-Farmer","Hectares","29"
"Afforestation Area","2023","Co. Westmeath","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Westmeath","Broadleaf","Total Afforestation","Hectares","64"
"Afforestation Area","2023","Co. Westmeath","Broadleaf","Farmer","Hectares","44"
"Afforestation Area","2023","Co. Westmeath","Broadleaf","Non-Farmer","Hectares","20"
"Afforestation Area","2023","Co. Westmeath","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Westmeath","Conifer","Total Afforestation","Hectares","12"
"Afforestation Area","2023","Co. Westmeath","Conifer","Farmer","Hectares","4"
"Afforestation Area","2023","Co. Westmeath","Conifer","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Westmeath","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Wexford","Total Afforestation","Total Afforestation","Hectares","14"
"Afforestation Area","2023","Co. Wexford","Total Afforestation","Farmer","Hectares","6"
